time_s,total_rate_gbps,reconstructed_rate_gbps,ecn_marks
0.0999937,0,0,0
0.100018,0,0,0
0.100026,0,0,0
0.100034,0,0,0
0.100042,252.964,252.964,0
0.10005,0,0,0
0.100058,0,0,0
0.100067,252.964,252.964,0
0.100075,0,0,0
0.100083,0,0,0
0.100091,0,0,0
0.100099,0,0,0
0.100107,0,0,0
0.100115,0,0,0
0.100123,0,0,0
0.100131,252.964,252.964,0
0.100139,0,0,0
0.100148,252.964,252.964,0
0.100156,252.964,252.964,0
0.100164,252.964,252.964,0
0.100172,0,0,0
0.10018,252.964,252.964,0
0.100188,252.964,252.964,0
0.100196,252.964,252.964,0
0.100204,0,0,0
0.100212,0,0,0
0.10022,758.893,758.893,0
0.100228,252.964,252.964,0
0.100237,0,0,0
0.100245,0,0,0
0.100253,252.964,252.964,0
0.100261,505.929,505.929,0
0.100269,252.964,252.964,0
0.100277,252.964,252.964,0
0.100285,505.929,505.929,0
0.100293,0,0,0
0.100301,0,0,0
0.100309,505.929,505.929,0
0.100318,0,0,0
0.100326,505.929,505.929,0
0.100334,0,0,1
0.100342,505.929,505.929,1
0.10035,505.929,505.929,0
0.100358,505.929,505.929,0
0.100366,0,0,1
0.100374,0,0,0
0.100382,252.964,252.964,0
0.10039,0,0,1
0.100398,0,0,0
0.100407,252.964,252.964,0
0.100415,1011.86,1011.86,0
0.100423,1011.86,1011.86,0
0.100431,0,0,0
0.100439,0,0,0
0.100447,0,0,1
0.100455,252.964,252.964,2
0.100463,252.964,252.964,0
0.100471,252.964,252.964,1
0.100479,252.964,252.964,0
0.100488,252.964,252.964,0
0.100496,252.964,252.964,0
0.100504,0,0,0
0.100512,252.964,252.964,0
0.10052,252.964,252.964,1
0.100528,252.964,252.964,0
0.100536,505.929,505.929,1
0.100544,0,0,0
0.100552,0,0,0
0.10056,505.929,505.929,0
0.100569,252.964,252.964,0
0.100577,252.964,252.964,0
0.100585,0,0,0
0.100593,505.929,505.929,0
0.100601,252.964,252.964,0
0.100609,252.964,252.964,0
0.100617,758.893,758.893,0
0.100625,252.964,252.964,0
0.100633,0,0,0
0.100641,252.964,252.964,0
0.100649,505.929,505.929,0
0.100658,252.964,252.964,0
0.100666,252.964,252.964,2
0.100674,505.929,505.929,0
0.100682,252.964,252.964,0
0.10069,505.929,505.929,1
0.100698,505.929,505.929,0
0.100706,758.893,758.893,1
0.100714,252.964,252.964,0
0.100722,505.929,505.929,1
0.10073,505.929,505.929,1
0.100739,252.964,252.964,0
0.100747,252.964,252.964,0
0.100755,505.929,505.929,0
0.100763,252.964,252.964,0
0.100771,505.929,505.929,0
0.100779,505.929,505.929,0
0.100787,252.964,252.964,0
0.100795,1011.86,1011.86,0
0.100803,0,0,0
0.100811,0,0,0
0.100819,0,0,0
0.100828,0,0,0
0.100836,758.893,758.893,0
0.100844,0,0,0
0.100852,758.893,758.893,0
0.10086,0,0,0
0.100868,252.964,252.964,0
0.100876,0,0,0
0.100884,0,0,0
0.100892,505.929,505.929,0
0.1009,0,0,0
0.100909,252.964,252.964,0
0.100917,0,0,0
0.100925,252.964,252.964,0
0.100933,0,0,0
0.100941,0,0,0
0.100949,0,0,0
0.100957,252.964,252.964,0
0.100965,505.929,505.929,0
0.100973,252.964,252.964,0
0.100981,252.964,252.964,0
0.10099,252.964,252.964,0
0.100998,0,0,0
0.101006,0,0,0
0.101014,0,0,0
0.101022,252.964,252.964,0
0.10103,505.929,505.929,0
0.101038,252.964,252.964,0
0.101046,0,0,0
0.101054,252.964,252.964,0
0.101062,0,0,0
0.10107,252.964,252.964,0
0.101079,0,0,1
0.101087,0,0,0
0.101095,0,0,0
0.101103,505.929,505.929,0
0.101111,505.929,505.929,1
0.101119,0,0,0
0.101127,0,0,0
0.101135,505.929,505.929,0
0.101143,0,0,1
0.101151,505.929,505.929,0
0.10116,1011.86,1011.86,0
0.101168,252.964,252.964,1
0.101176,0,0,0
0.101184,252.964,252.964,0
0.101192,0,0,0
0.1012,505.929,505.929,0
0.101208,252.964,252.964,0
0.101216,252.964,252.964,0
0.101224,505.929,505.929,0
0.101232,1011.86,1011.86,0
0.10124,505.929,505.929,0
0.101249,505.929,505.929,0
0.101257,505.929,505.929,0
0.101265,252.964,252.964,0
0.101273,252.964,252.964,0
0.101281,252.964,252.964,0
0.101289,0,0,0
0.101297,252.964,252.964,0
0.101305,0,0,0
0.101313,505.929,505.929,0
0.101321,252.964,252.964,0
0.10133,252.964,252.964,0
0.101338,252.964,252.964,0
0.101346,252.964,252.964,0
0.101354,0,0,0
0.101362,758.893,758.893,0
0.10137,758.893,758.893,0
0.101378,1011.86,1011.86,0
0.101386,252.964,252.964,0
0.101394,1011.86,1011.86,0
0.101402,758.893,758.893,0
0.10141,505.929,505.929,0
0.101419,252.964,252.964,0
0.101427,505.929,505.929,0
0.101435,505.929,505.929,0
0.101443,758.893,758.893,2
0.101451,252.964,252.964,0
0.101459,758.893,758.893,2
0.101467,252.964,252.964,1
0.101475,252.964,252.964,0
0.101483,505.929,505.929,3
0.101491,505.929,505.929,1
0.1015,0,0,0
0.101508,0,0,2
0.101516,0,0,2
0.101524,252.964,252.964,0
0.101532,505.929,505.929,0
0.10154,252.964,252.964,0
0.101548,0,0,0
0.101556,252.964,252.964,0
0.101564,252.964,252.964,1
0.101572,252.964,252.964,0
0.101581,252.964,252.964,1
0.101589,1011.86,1011.86,0
0.101597,505.929,505.929,1
0.101605,1011.86,1011.86,1
0.101613,0,0,0
0.101621,252.964,252.964,0
0.101629,252.964,252.964,0
0.101637,252.964,252.964,0
0.101645,252.964,252.964,0
0.101653,252.964,252.964,0
0.101661,0,0,0
0.10167,505.929,505.929,0
0.101678,0,0,0
0.101686,0,0,0
0.101694,0,0,0
0.101702,252.964,252.964,0
0.10171,1517.79,1517.79,1
0.101718,0,0,0
0.101726,0,0,0
