time_s,total_rate_gbps,reconstructed_rate_gbps,ecn_marks
0.101702,189.427,189.723,48
0.10171,332.609,333.004,48
0.101718,319.17,319.17,47
0.101726,261.858,261.858,48
0.101734,263.834,263.834,72
0.101742,321.542,321.146,13
0.101751,334.98,334.98,0
0.101759,235.524,235.178,0
0.101767,240.069,240.119,2
0.101775,318.874,319.17,3
0.101783,290.119,290.514,2
0.101791,308.696,308.3,2
0.101799,370.751,370.553,4
0.101807,335.573,335.968,6
0.101815,285.573,285.573,44
0.101823,305.83,306.324,81
0.101831,294.713,294.466,111
0.10184,264.822,264.822,110
0.101848,165.514,166.008,76
0.101856,206.522,206.522,140
0.101864,260.87,260.87,184
0.101872,346.443,346.838,211
0.10188,323.123,323.123,227
0.101888,328.557,329.051,154
0.101896,216.897,217.391,152
0.101904,227.964,228.261,155
0.101912,306.028,306.324,146
0.101921,294.466,294.466,174
0.101929,334.98,334.98,180
0.101937,235.178,235.178,151
0.101945,204.891,204.545,183
0.101953,197.233,197.628,238
0.101961,286.265,286.561,187
0.101969,299.407,299.407,178
0.101977,511.413,511.858,166
0.101985,419.664,419.96,154
0.101993,491.453,491.107,152
0.102002,316.206,316.206,185
0.10201,279.249,279.644,161
0.102018,267.787,267.787,146
0.102026,313.241,313.241,173
0.102034,241.107,241.107,205
0.102042,235.326,235.178,181
0.10205,227.223,227.273,186
0.102058,213.785,213.439,151
0.102066,266.502,266.798,134
0.102074,286.561,286.561,151
0.102082,283.597,283.597,155
0.102091,337.945,337.945,136
0.102099,260.474,260.87,110
0.102107,173.123,172.925,153
0.102115,355.583,355.731,153
0.102123,363.142,363.636,142
0.102131,360.672,360.672,145
0.102139,324.605,325.099,77
0.102147,255.237,254.941,71
0.102155,238.142,238.142,113
0.102163,271.739,271.739,126
0.102172,331.225,331.028,185
0.10218,264.526,264.822,194
0.102188,259.881,259.881,166
0.102196,251.976,251.976,211
0.102204,249.407,249.012,217
0.102212,305.978,306.324,256
0.10222,257.905,257.905,257
0.102228,410.079,410.079,248
0.102236,343.725,343.874,223
0.102244,373.024,373.518,236
0.102252,370.553,370.553,248
0.102261,386.561,386.364,242
0.102269,425.692,425.889,281
0.102277,411.709,412.055,334
0.102285,413.043,413.043,415
0.102293,317.243,317.194,418
0.102301,321.838,322.134,404
0.102309,261.067,260.87,325
0.102317,335.326,334.98,320
0.102325,330.04,330.04,335
0.102333,376.482,376.482,277
0.102342,401.779,402.174,264
0.10235,392.391,392.292,277
0.102358,380.04,380.435,264
0.102366,371.393,371.542,271
0.102374,370.553,370.553,266
0.102382,528.854,528.656,302
0.10239,397.431,397.233,300
0.102398,361.66,361.66,312
0.102406,444.466,444.664,315
0.102414,311.265,311.265,285
0.102422,258.992,258.893,199
0.102431,256.868,256.917,217
0.102439,256.917,256.917,197
0.102447,257.905,257.905,192
0.102455,234.19,234.19,196
0.102463,317.49,317.194,169
0.102471,322.974,323.123,157
0.102479,340.316,339.921,99
0.102487,300.395,300.395,98
0.102495,279.644,279.644,81
0.102503,371.542,371.542,65
0.102512,390.316,390.316,92
0.10252,370.899,370.553,90
0.102528,273.715,273.715,68
0.102536,270.455,270.751,90
0.102544,250.988,250.988,99
0.102552,254.644,254.941,98
0.10256,280.632,280.632,99
0.102568,283.202,283.597,99
0.102576,301.383,301.383,60
0.102584,291.502,291.502,60
0.102593,278.953,278.656,85
0.102601,261.858,261.858,122
0.102609,232.213,232.213,144
0.102617,247.134,247.036,191
0.102625,352.767,352.767,192
0.102633,297.431,297.431,183
0.102641,296.838,296.443,184
0.102649,307.164,307.312,192
0.102657,306.818,307.312,247
0.102665,243.083,243.083,245
0.102673,242.787,243.083,235
0.102682,215.415,215.415,202
0.10269,345.85,345.85,226
0.102698,260.079,259.881,257
0.102706,268.775,268.775,241
0.102714,240.514,240.119,291
0.102722,237.154,237.154,291
0.10273,193.676,193.676,285
0.102738,167.984,167.984,270
0.102746,166.996,166.996,256
0.102754,160.079,160.079,244
0.102763,153.656,154.15,203
0.102771,153.656,154.15,145
0.102779,157.708,158.103,175
0.102787,227.866,228.261,185
0.102795,250.988,250.988,183
0.102803,173.123,172.925,187
0.102811,270.751,270.751,189
0.102819,293.478,293.478,194
0.102827,242.787,243.083,149
0.102835,145.85,146.245,150
0.102843,214.427,214.427,145
0.102852,203.409,203.557,125
0.10286,146.245,146.245,125
0.102868,146.245,146.245,99
0.102876,184.98,184.783,79
0.102884,183.3,183.794,76
0.102892,171.64,171.937,126
0.1029,148.221,148.221,80
0.102908,209.486,209.486,81
