time_s,total_rate_gbps,reconstructed_rate_gbps,ecn_marks
0.0999937,0,0,0
0.100018,0,0,0
0.100026,3.16206,2.96443,0
0.100034,31.6206,31.6206,0
0.100042,193.676,193.676,0
0.10005,0,0,0
0.100058,0,0,0
0.100067,189.723,189.723,0
0.100075,158.103,158.103,0
0.100083,166.008,166.008,0
0.100091,86.9565,86.9565,0
0.100099,175.494,175.889,0
0.100107,47.4308,47.4308,0
0.100115,31.6206,31.6206,0
0.100123,110.672,110.672,0
0.100131,229.249,229.249,0
0.100139,102.767,102.767,0
0.100148,252.964,252.964,0
0.100156,221.344,221.344,0
0.100164,245.059,245.059,0
0.100172,197.628,197.628,0
0.10018,138.34,138.34,0
0.100188,142.292,142.292,0
0.100196,158.103,158.103,0
0.100204,110.672,110.672,0
0.100212,39.5257,39.5257,0
0.10022,216.206,216.403,0
0.100228,169.17,168.972,0
0.100237,197.628,197.628,0
0.100245,332.016,332.016,0
0.100253,300.395,300.395,0
0.100261,245.059,245.059,0
0.100269,320.158,320.158,0
0.100277,363.636,363.636,0
0.100285,379.447,379.447,0
0.100293,592.885,592.885,0
0.100301,505.929,505.929,0
0.100309,537.549,537.549,0
0.100318,371.542,371.542,0
0.100326,545.455,545.455,1
0.100334,363.636,363.636,7
0.100342,413.439,413.043,11
0.10035,418.972,418.972,19
0.100358,371.542,371.542,28
0.100366,316.206,316.206,14
0.100374,260.87,260.87,21
0.100382,189.723,189.723,12
0.10039,118.577,118.577,15
0.100398,158.103,158.103,16
0.100407,252.964,252.964,22
0.100415,260.87,260.87,13
0.100423,252.964,252.964,14
0.100431,150.198,150.198,13
0.100439,166.008,166.008,12
0.100447,126.482,126.482,19
0.100455,128.063,128.458,18
0.100463,94.8617,94.8617,22
0.100471,118.577,118.577,14
0.100479,166.008,166.008,16
0.100488,150.198,150.198,3
0.100496,189.723,189.723,7
0.100504,126.482,126.482,1
0.100512,276.68,276.68,8
0.10052,126.482,126.482,14
0.100528,150.198,150.198,8
0.100536,142.292,142.292,4
0.100544,134.387,134.387,2
0.100552,181.818,181.818,3
0.10056,237.154,237.154,0
0.100569,466.403,466.403,0
0.100577,379.447,379.447,0
0.100585,339.921,339.921,0
0.100593,395.257,395.257,0
0.100601,284.585,284.585,0
0.100609,328.854,329.051,0
0.100617,308.3,308.3,1
0.100625,374.308,374.506,1
0.100633,371.542,371.542,5
0.100641,288.538,288.538,18
0.100649,245.059,245.059,17
0.100658,276.68,276.68,9
0.100666,537.549,537.549,10
0.100674,513.834,513.834,24
0.100682,366.798,366.601,18
0.10069,339.921,339.921,20
0.100698,260.87,260.87,28
0.100706,320.158,320.158,17
0.100714,286.957,286.561,14
0.100722,237.154,237.154,21
0.10073,316.206,316.206,14
0.100739,245.059,245.059,12
0.100747,313.834,314.229,3
0.100755,213.439,213.439,5
0.100763,284.585,284.585,5
0.100771,213.439,213.439,6
0.100779,332.016,332.016,2
0.100787,245.059,245.059,0
0.100795,308.3,308.3,0
0.100803,189.723,189.723,0
0.100811,197.628,197.628,0
0.100819,134.387,134.387,0
0.100828,166.008,166.008,0
0.100836,292.49,292.49,1
0.100844,252.964,252.964,0
0.100852,276.68,276.68,0
0.10086,300.395,300.395,1
0.100868,324.111,324.111,0
0.100876,268.775,268.775,0
0.100884,418.972,418.972,0
0.100892,260.87,260.87,0
0.1009,177.075,176.877,0
0.100909,154.941,155.138,0
0.100917,118.577,118.577,0
0.100925,126.482,126.482,0
0.100933,145.455,145.257,0
0.100941,150.198,150.198,0
0.100949,150.198,150.198,0
0.100957,142.292,142.292,0
0.100965,276.68,276.68,0
0.100973,126.482,126.482,0
0.100981,300.395,300.395,0
0.10099,213.439,213.439,0
0.100998,142.292,142.292,0
0.101006,229.249,229.249,0
0.101014,221.344,221.344,0
0.101022,173.913,173.913,0
0.10103,134.387,134.387,0
0.101038,252.964,252.964,0
0.101046,434.783,434.783,0
0.101054,347.826,347.826,0
0.101062,286.166,286.561,0
0.10107,158.103,158.103,2
0.101079,158.103,158.103,14
0.101087,137.549,137.352,10
0.101095,102.767,102.767,17
0.101103,308.3,308.3,23
0.101111,281.423,281.621,13
0.101119,152.964,153.162,15
0.101127,71.1462,71.1462,13
0.101135,237.154,237.154,9
0.101143,110.672,110.672,19
0.101151,268.775,268.775,12
0.10116,197.628,197.628,11
0.101168,79.0514,79.0514,8
0.101176,31.6206,31.6206,2
0.101184,71.1462,71.1462,2
0.101192,197.628,197.628,1
0.1012,110.672,110.672,0
0.101208,197.628,197.628,1
0.101216,168.379,167.984,0
0.101224,166.008,166.008,0
0.101232,158.103,158.103,0
0.10124,132.016,132.411,0
0.101249,158.103,158.103,0
0.101257,276.68,276.68,0
0.101265,245.059,245.059,0
0.101273,173.913,173.913,0
0.101281,205.534,205.534,0
0.101289,168.775,168.972,0
0.101297,94.8617,94.8617,0
0.101305,158.103,158.103,0
0.101313,252.964,252.964,0
0.101321,276.68,276.68,0
0.10133,229.249,229.249,0
0.101338,173.913,173.913,0
0.101346,308.3,308.3,0
0.101354,529.644,529.644,0
0.101362,719.368,719.368,0
0.10137,584.98,584.98,0
0.101378,474.308,474.308,0
0.101386,529.644,529.644,0
0.101394,569.17,569.17,3
0.101402,498.024,498.024,6
0.10141,498.024,498.024,6
0.101419,521.739,521.739,16
0.101427,564.032,564.229,13
0.101435,466.403,466.403,53
0.101443,363.636,363.636,33
0.101451,355.731,355.731,24
0.101459,450.593,450.593,34
0.101467,355.731,355.731,34
0.101475,379.447,379.447,39
0.101483,355.731,355.731,43
0.101491,300.395,300.395,23
0.1015,197.628,197.628,30
0.101508,205.534,205.534,37
0.101516,316.206,316.206,27
0.101524,281.423,281.621,28
0.101532,316.206,316.206,21
0.10154,316.206,316.206,20
0.101548,252.964,252.964,17
0.101556,229.249,229.249,15
0.101564,181.818,181.818,17
0.101572,245.059,245.059,16
